arm,max_rounds,category,n,exact_match,exact_match_ci95,f1,f1_bootstrap_ci95,cold_p50_ms,cold_p95_ms,mean_component_ms_cache_construction_ms,mean_component_ms_controller_ms,mean_component_ms_final_generation_ms,mean_component_ms_other_query_ms,mean_component_ms_reranking_ms,mean_component_ms_retrieval_ms,mean_component_ms_tokenization_ms,mean_counts_all_models_prefill_tokens,mean_counts_bridge_recomputed_tokens,mean_counts_cache_prefill_tokens,mean_counts_controller_action_tokens,mean_counts_controller_calls,mean_counts_controller_forced_tokens,mean_counts_controller_prefill_tokens,mean_counts_controller_reasoning_tokens,mean_counts_controller_sampled_tokens_including_eos,mean_counts_final_prefill_tokens,mean_counts_host_output_tokens,mean_counts_internal_decoded_tokens,mean_counts_max_model_context_tokens,mean_counts_primary_model_prefill_tokens,mean_counts_reranker_input_tokens,mean_counts_reranker_scored_documents,mean_counts_retrieval_calls,mean_counts_retrieved_documents,mean_counts_retrieved_evidence_tokens,mean_counts_total_prefill_tokens,mean_executed_rounds,fraction_invalid_action,fraction_final_token_cap,mean_support_annotation_coverage,stop_reasons,job_id,model_label,max_reasoning_tokens,correct,mean_new_support_after_initial,fraction_questions_gain_new_support,mean_productive_followup_rounds,fraction_all_support_delivered,max_recorded_mlx_peak_bytes,controller_reasoning_stops,controller_action_stops
iterative_text,5,2hop,4,0.0,"[0.0, 0.4898908364545973]",0.0,"[0.0, 0.0]",2078.572375001386,2692.2172731749015,0.0,1456.792583267088,511.3854689989239,0.40345871821045876,0.0,8.759906006162055,2.414051748928614,3238,0,0,20.5,1.5,0,1957.75,0,22,1280.25,1.5,20.5,1385.5,3238,0,0,1.5,7.5,1144.5,3238,1.5,0,0,0.625,"{""controller_answer"": 2, ""repeated_query_fallback_to_final"": 2}",8b_short,8B,0,0.0,0.25,0.25,0.25,0.25,16819743168,"{""disabled"": 6}","{""eos"": 6}"
iterative_text,5,3hop,4,0.0,"[0.0, 0.4898908364545973]",0.0,"[0.0, 0.0]",1810.0017080141697,1989.7796222969191,0.0,1426.2117810139898,401.27291674434673,0.3344580181874335,0.0,7.808468246366829,2.013792240177281,2526.25,0,0,24.5,1.5,0,1538.75,0,26,987.5,1,24.5,1101.75,2526.25,0,0,1.5,7.5,840.75,2526.25,1.5,0,0,0.5,"{""repeated_query_fallback_to_final"": 4}",8b_short,8B,0,0.0,0.25,0.25,0.25,0,16819743168,"{""disabled"": 6}","{""eos"": 6}"
iterative_text,5,4hop,4,0.0,"[0.0, 0.4898908364545973]",0.0,"[0.0, 0.0]",3290.139916498447,5586.172616918338,0.0,2928.1136349891312,693.2341039937455,0.5471889744512737,0.0,12.919395725475624,3.3778950746636838,5417.75,0,0,43,2.5,0,3698.75,0,45,1719,1,43,1854,5417.75,0,0,2.5,10.5,1570.75,5417.75,2.5,0,0,0.375,"{""repeated_query_fallback_to_final"": 4}",8b_short,8B,0,0.0,0.75,0.5,0.75,0,16894749776,"{""disabled"": 10}","{""eos"": 8, ""max_tokens"": 2}"
iterative_text,5,all,12,0.0,"[2.7755575615628914e-17, 0.24249400665524085]",0.0,"[0.0, 0.0]",2075.3615830035415,4921.561483311233,0.0,1937.0393330900697,535.2974965790054,0.4283685702830553,0.0,9.829256659334836,2.6019130212565265,3727.3333333333335,0,0,29.333333333333332,1.8333333333333333,0,2398.4166666666665,0,31,1328.9166666666667,1.1666666666666667,29.333333333333332,1447.0833333333333,3727.3333333333335,0,0,1.8333333333333333,8.5,1185.3333333333333,3727.3333333333335,1.8333333333333333,0,0,0.5,"{""controller_answer"": 2, ""repeated_query_fallback_to_final"": 10}",8b_short,8B,0,0.0,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.08333333333333333,16894749776,"{""disabled"": 22}","{""eos"": 20, ""max_tokens"": 2}"
iterative_text,5,2hop,4,0.0,"[0.0, 0.4898908364545973]",0.0,"[0.0, 0.0]",21156.887541495962,21390.544822314405,0.0,17590.555489237886,591.9418747362215,0.43582412763498724,0.0,10.311604492017068,2.765498895314522,3508.25,0,0,24.25,1.75,4.75,2225.5,440,466,1278,1,464.25,1644,3508.25,0,0,1.75,8.25,1142.25,3508.25,1.75,0,0,0.625,"{""controller_answer"": 1, ""repeated_query_fallback_to_final"": 3}",8b_thinking,8B,256,0.0,0.25,0.25,0.25,0.25,16772066376,"{""end_think"": 1, ""max_reasoning_tokens"": 6}","{""eos"": 7}"
iterative_text,5,3hop,4,0.0,"[0.0, 0.4898908364545973]",0.0,"[0.0, 0.0]",20751.4627710043,38404.65268120751,0.0,22942.422739753965,522.8414165176218,0.4303015011828393,0.0,11.541916464921087,2.8031570109305903,4133.25,0,0,41.25,2.25,6.75,2794,576,619,1332.5,1,617.25,1717.25,4133.25,0,0,2.25,9.75,1185.75,4133.25,2.25,0.5,0,0.6666666666666666,"{""controller_answer"": 1, ""repeated_query_fallback_to_final"": 1, ""invalid_action_fallback_to_final"": 2}",8b_thinking,8B,256,0.0,0.75,0.5,0.75,0.25,16853855312,"{""max_reasoning_tokens"": 9}","{""eos"": 7, ""max_tokens"": 2}"
iterative_text,5,4hop,4,0.0,"[0.0, 0.4898908364545973]",0.0,"[0.0, 0.0]",31514.860000490444,40482.94444832718,0.0,30778.3738434955,775.1318852388067,0.6143864011391997,0.0,15.064146209624596,3.7871139065828174,6372,0,0,49.25,3,9,4591,768,820,1772,4,817.25,2167.25,6372,0,0,3,12,1623.75,6372,3,0,0,0.375,"{""repeated_query_fallback_to_final"": 3, ""controller_answer"": 1}",8b_thinking,8B,256,0.0,0.75,0.25,0.5,0.25,16894749768,"{""max_reasoning_tokens"": 12}","{""eos"": 11, ""max_tokens"": 1}"
iterative_text,5,all,12,0.0,"[2.7755575615628914e-17, 0.24249400665524085]",0.0,"[0.0, 0.0]",21249.04741649516,41719.98424392077,0.0,23770.45069082912,629.97172549755,0.4935040099856754,0.0,12.305889055520916,3.11858993760931,4671.166666666667,0,0,38.25,2.3333333333333335,6.833333333333333,3203.5,594.6666666666666,635,1460.8333333333333,2,632.9166666666666,1842.8333333333333,4671.166666666667,0,0,2.3333333333333335,10,1317.25,4671.166666666667,2.3333333333333335,0.16666666666666666,0,0.5555555555555556,"{""controller_answer"": 3, ""repeated_query_fallback_to_final"": 7, ""invalid_action_fallback_to_final"": 2}",8b_thinking,8B,256,0.0,0.5833333333333334,0.3333333333333333,0.5,0.25,16894749768,"{""end_think"": 1, ""max_reasoning_tokens"": 27}","{""eos"": 25, ""max_tokens"": 3}"
iterative_text,5,2hop,4,0.25,"[0.04558726080970055, 0.6993581574175981]",0.25,"[0.0, 0.75]",4411.2063749926165,5655.620731235831,0.0,2966.9791557244025,1081.8285522400402,0.5168852512724698,0.0,11.332104011671618,3.037896516616456,4169.25,0,0,15.75,2,0,2747.25,0,17.75,1422,2.25,15.75,1531.5,4169.25,0,0,2,9,1286.25,4169.25,2,0,0,0.625,"{""controller_answer"": 3, ""repeated_query_fallback_to_final"": 1}",14b_short,14B,0,1.0,0.25,0.25,0.25,0.25,30068243528,"{""disabled"": 8}","{""eos"": 8}"
iterative_text,5,3hop,4,0.0,"[0.0, 0.4898908364545973]",0.0,"[0.0, 0.0]",4463.740646024235,6574.271384830353,0.0,3757.121103728423,1264.313270978164,0.4906990798190236,0.0,10.76120775542222,2.8524267254397273,3986,0,0,29.75,2.25,0,2677.25,0,32,1308.75,6,29.75,1433.5,3986,0,0,2.25,9.75,1162,3986,2.25,0,0,0.5833333333333333,"{""repeated_query_fallback_to_final"": 4}",14b_short,14B,0,0.0,0.5,0.5,0.5,0,30068243528,"{""disabled"": 9}","{""eos"": 9}"
iterative_text,5,4hop,4,0.0,"[0.0, 0.4898908364545973]",0.03333333333333333,"[0.0, 0.1]",6040.196000016294,8203.675656288397,0.0,5089.739208226092,1371.4630835020216,0.5546267348108813,0.0,12.718124475213699,3.4499258181313053,5177.75,0,0,40,2.5,0,3552,0,42.5,1625.75,4.25,40,1759.25,5177.75,0,0,2.5,10.5,1477.5,5177.75,2.5,0,0,0.375,"{""repeated_query_fallback_to_final"": 4}",14b_short,14B,0,0.0,0.75,0.75,0.75,0,30068243536,"{""disabled"": 10}","{""eos"": 10}"
iterative_text,5,all,12,0.08333333333333333,"[0.014865094404917095, 0.35387991114111694]",0.09444444444444444,"[0.0, 0.2722222222222222]",4959.144604014,7636.347241309703,0.0,3937.946489226306,1239.2016355734086,0.5207370219674582,0.0,11.60381208076918,3.1134163533958295,4444.333333333333,0,0,28.5,2.25,0,2992.1666666666665,0,30.75,1452.1666666666667,4.166666666666667,28.5,1574.75,4444.333333333333,0,0,2.25,9.75,1308.5833333333333,4444.333333333333,2.25,0,0,0.5277777777777778,"{""controller_answer"": 3, ""repeated_query_fallback_to_final"": 9}",14b_short,14B,0,1.0,0.5,0.5,0.5,0.08333333333333333,30068243536,"{""disabled"": 27}","{""eos"": 27}"
iterative_text,5,2hop,4,0.25,"[0.04558726080970055, 0.6993581574175981]",0.25,"[0.0, 0.75]",28874.694875034038,38536.178058118094,0.0,28015.283531247405,914.5360937400255,0.3834060044027865,0.0,8.357406259165145,2.5632605247665197,3064.75,0,0,17.75,1.5,4,1846.25,383.5,402.75,1214.5,1.75,401.25,1574.75,3064.75,0,0,1.5,7.5,1078.75,3064.75,1.5,0.25,0,0.75,"{""invalid_action_fallback_to_final"": 1, ""repeated_query_fallback_to_final"": 2, ""controller_answer"": 1}",14b_thinking,14B,256,1.0,0.5,0.5,0.5,0.5,30023154760,"{""max_reasoning_tokens"": 5, ""end_think"": 1}","{""eos"": 6}"
iterative_text,5,3hop,4,0.0,"[0.0, 0.4898908364545973]",0.0,"[0.0, 0.0]",47747.58322897833,58175.854604446795,0.0,46788.70802075835,1149.976479500765,0.49302120169159025,0.0,11.792656237957999,2.9361972847254947,4517,0,0,32.25,2.5,7.5,3102.25,640,674.75,1407.25,3.5,672.25,1794,4517,0,0,2.5,10.5,1260.5,4517,2.5,0.25,0,0.75,"{""invalid_action_fallback_to_final"": 1, ""repeated_query_fallback_to_final"": 2, ""controller_answer"": 1}",14b_thinking,14B,256,0.0,1,0.75,1,0.25,30023154768,"{""max_reasoning_tokens"": 10}","{""eos"": 10}"
