job_id,model_label,max_reasoning_tokens,arm,max_rounds,round,n_questions,n_reached_round,n_decisions_after_round,n_repeated_query_decisions,n_invalid_decisions,n_answer_decisions,n_stopped_after_round,reasoning_tokens_after_round,action_tokens_after_round,new_support_count,mean_new_support_per_original_question,mean_new_support_per_reached_question,fraction_original_questions_with_new_support,mean_cumulative_support_coverage,fraction_all_support_delivered
8b_short,8B,0,iterative_text,5,1,12,12,12,3,0,1,4,0,197,12,1.0,1,0.75,0.3680555555555555,0.08333333333333333
8b_short,8B,0,iterative_text,5,2,12,8,8,6,0,1,7,0,111,4,0.3333333333333333,0.5,0.3333333333333333,0.47916666666666663,0.08333333333333333
8b_short,8B,0,iterative_text,5,3,12,1,1,0,0,0,0,0,22,1,0.08333333333333333,1,0.08333333333333333,0.5,0.08333333333333333
8b_short,8B,0,iterative_text,5,4,12,1,1,1,0,0,1,0,22,0,0.0,0,0.0,0.5,0.08333333333333333
8b_short,8B,0,iterative_text,5,5,12,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.5,0.08333333333333333
8b_thinking,8B,256,iterative_text,5,1,12,12,12,0,1,1,2,3040,195,12,1.0,1,0.75,0.3680555555555555,0.08333333333333333
8b_thinking,8B,256,iterative_text,5,2,12,10,10,5,1,0,6,2560,165,5,0.4166666666666667,0.5,0.3333333333333333,0.5069444444444444,0.08333333333333333
8b_thinking,8B,256,iterative_text,5,3,12,4,4,1,0,1,2,1024,78,2,0.16666666666666666,0.5,0.16666666666666666,0.5555555555555556,0.25
8b_thinking,8B,256,iterative_text,5,4,12,2,2,1,0,1,2,512,21,0,0.0,0,0.0,0.5555555555555556,0.25
8b_thinking,8B,256,iterative_text,5,5,12,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.5555555555555556,0.25
14b_short,14B,0,iterative_text,5,1,12,12,12,0,0,1,1,0,149,12,1.0,1,0.75,0.3680555555555555,0.08333333333333333
14b_short,14B,0,iterative_text,5,2,12,11,11,6,0,1,7,0,144,5,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.5,0.08333333333333333
14b_short,14B,0,iterative_text,5,3,12,4,4,3,0,1,4,0,49,1,0.08333333333333333,0.25,0.08333333333333333,0.5277777777777778,0.08333333333333333
14b_short,14B,0,iterative_text,5,4,12,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.5277777777777778,0.08333333333333333
14b_short,14B,0,iterative_text,5,5,12,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.5277777777777778,0.08333333333333333
14b_thinking,14B,256,iterative_text,5,1,12,12,12,0,2,1,3,3072,143,12,1.0,1,0.75,0.3680555555555555,0.08333333333333333
14b_thinking,14B,256,iterative_text,5,2,12,9,9,4,0,1,5,2302,100,6,0.5,0.6666666666666666,0.5,0.5555555555555556,0.16666666666666666
14b_thinking,14B,256,iterative_text,5,3,12,4,4,1,1,0,2,1024,48,3,0.25,0.75,0.25,0.625,0.25
14b_thinking,14B,256,iterative_text,5,4,12,2,2,1,1,0,2,512,23,2,0.16666666666666666,1,0.16666666666666666,0.6666666666666666,0.3333333333333333
14b_thinking,14B,256,iterative_text,5,5,12,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.6666666666666666,0.3333333333333333
