profile_id,provider,baseline,comparison,n_paired_questions,measured_local_mean_paired_difference_s,measured_local_median_paired_comparison_over_baseline,scenario_A_mean_paired_difference_s,scenario_A_median_paired_comparison_over_baseline,scenario_B_mean_paired_difference_s,scenario_B_median_paired_comparison_over_baseline,source_url,source_snapshot_sha256,example_ids_json,projection_sha256
openrouter14b-alibaba,Alibaba,native/14b/basic_rag,native/14b/iterative_text,12,4.320640579845834,6.208025297808405,1.2783400089210084,4.105613696874379,0.8417025820204236,2.9694710479951683,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter14b-alibaba,Alibaba,prior/14b_short/iterative_text,prior/14b_thinking/iterative_text,12,38.124555315996986,8.932547760478485,10.024323995214578,7.090719972633317,9.705873702816918,8.431050932159906,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter14b-nextbit,NextBit,native/14b/basic_rag,native/14b/iterative_text,12,4.320640579845834,6.208025297808405,2.141410184359605,3.6559451629637283,1.6414101843596047,2.984243966330424,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter14b-nextbit,NextBit,prior/14b_short/iterative_text,prior/14b_thinking/iterative_text,12,38.124555315996986,8.932547760478485,11.427803527378323,4.743671895155535,10.35197019404499,5.046386844634245,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter14b-deepinfra,DeepInfra,native/14b/basic_rag,native/14b/iterative_text,12,4.320640579845834,6.208025297808405,2.3961388665301473,3.693899940544256,1.814743517692938,2.9857363257424767,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter14b-deepinfra,DeepInfra,prior/14b_short/iterative_text,prior/14b_thinking/iterative_text,12,38.124555315996986,8.932547760478485,13.28822988396747,4.919978190235604,12.131970194044989,5.288580894792718,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter8b-alibaba,Alibaba (inferred; cached model-level series),prior/8b_short/iterative_text,prior/8b_thinking/iterative_text,12,21.931144031409833,9.451906435697353,14.412632088163093,5.500253315285795,13.381353018395652,6.134600084717798,https://openrouter.ai/qwen/qwen3-8b/pricing,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter122b-siliconflow,SiliconFlow,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,4.2002296634914815,3.9447901181817406,3.4918963301581485,3.4908134294058817,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter122b-alibaba,Alibaba,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,2.469876128137946,3.701755441296002,2.2552296634914817,3.485824269935182,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter122b-atlascloud,AtlasCloud,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,2.904872520634339,3.704450859482044,2.651896330158148,3.4879273249907836,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
openrouter122b-novita,Novita,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,2.1348725206343393,3.7860195506067145,1.8818963301581488,3.483044345881537,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
lambda122b-lambda-4xb200-sglang,Lambda 4xB200 SGLang,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,2.9888129968248154,3.719140079499864,,,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
lambda122b-lambda-8xh100-vllm,Lambda 8xH100 vLLM,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,2.828562996824816,3.7953251851366563,,,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
lambda122b-lambda-8xh100-sglang,Lambda 8xH100 SGLang,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,6.494729663491483,3.6376911196945763,,,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
lambda122b-lambda-8xa100-sglang,Lambda 8xA100 SGLang,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,11.390729663491483,3.6325389447247707,,,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
lambda122b-lambda-4xb200-vllm,Lambda 4xB200 vLLM,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,11.734146330158147,3.5526354944978467,,,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
lambda122b-lambda-8xa100-vllm,Lambda 8xA100 vLLM,native/122b/basic_rag,native/122b/iterative_text,12,5.741329003397065,4.707060959060353,18.541562996824815,3.5968209719652453,,,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,"[""2hop__403580_37168"",""2hop__460091_405771"",""2hop__57543_158262"",""2hop__84172_198548"",""3hop1__132968_40769_64047"",""3hop1__210639_147339_47686"",""3hop1__64957_87694_64412"",""3hop2__30956_65244_84681"",""4hop1__370129_621192_10659_42311"",""4hop1__391525_49925_13759_736921"",""4hop1__58323_375563_161848_53331"",""4hop3__312119_132409_371500_35031""]",ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad
