profile_id,model_id,provider,screen,run_label,arm,n_questions,observed_local_correct_unchanged,measured_local_mean_s,measured_local_p50_s,measured_local_p95_s,profile_ttft_proxy_s,profile_reported_tps,metric_semantics,scenario_A_mean_s,scenario_A_p50_s,scenario_A_p95_s,scenario_B_mean_s,scenario_B_p50_s,scenario_B_p95_s,source_id,source_url,source_period,source_snapshot_sha256,projection_sha256,workload_sha256
lambda122b-lambda-4xb200-sglang,Qwen/Qwen3.5-122B-A10B,Lambda 4xB200 SGLang,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,1.156,76.92307692307692,decode_tps_from_tpot,1.184369982497456,1.1707173335135448,1.2176853161613688,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-4xb200-sglang,Qwen/Qwen3.5-122B-A10B,Lambda 4xB200 SGLang,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,1.156,76.92307692307692,decode_tps_from_tpot,4.173182979322271,4.408858312553493,5.635033319996297,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-4xb200-vllm,Qwen/Qwen3.5-122B-A10B,Lambda 4xB200 vLLM,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,4.904,76.92307692307692,decode_tps_from_tpot,4.932369982497456,4.918717333513545,4.965685316161369,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-4xb200-vllm,Qwen/Qwen3.5-122B-A10B,Lambda 4xB200 vLLM,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,4.904,76.92307692307692,decode_tps_from_tpot,16.666516312655606,17.526858312553493,22.313633319996292,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-8xa100-sglang,Qwen/Qwen3.5-122B-A10B,Lambda 8xA100 SGLang,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,4.602,33.333333333333336,decode_tps_from_tpot,4.647369982497456,4.616717333513545,4.714685316161369,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-8xa100-sglang,Qwen/Qwen3.5-122B-A10B,Lambda 8xA100 SGLang,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,4.602,33.333333333333336,decode_tps_from_tpot,16.03809964598894,16.903358312553493,21.554533319996295,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-8xa100-vllm,Qwen/Qwen3.5-122B-A10B,Lambda 8xA100 vLLM,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,7.612,27.77777777777778,decode_tps_from_tpot,7.663369982497456,7.626717333513545,7.742685316161369,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-8xa100-vllm,Qwen/Qwen3.5-122B-A10B,Lambda 8xA100 vLLM,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,7.612,27.77777777777778,decode_tps_from_tpot,26.20493297932227,27.591358312553496,35.15543331999629,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-8xh100-sglang,Qwen/Qwen3.5-122B-A10B,Lambda 8xH100 SGLang,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,2.613,55.55555555555556,decode_tps_from_tpot,2.6463699824974563,2.627717333513545,2.689685316161369,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-8xh100-sglang,Qwen/Qwen3.5-122B-A10B,Lambda 8xH100 SGLang,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,2.613,55.55555555555556,decode_tps_from_tpot,9.141099645988938,9.635858312553493,12.290683319996296,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
