arm,max_rounds,category,n,exact_match,exact_match_ci95,f1,f1_bootstrap_ci95,cold_p50_ms,cold_p95_ms,mean_component_ms_cache_construction_ms,mean_component_ms_controller_ms,mean_component_ms_final_generation_ms,mean_component_ms_other_query_ms,mean_component_ms_reranking_ms,mean_component_ms_retrieval_ms,mean_component_ms_tokenization_ms,mean_counts_all_models_prefill_tokens,mean_counts_bridge_recomputed_tokens,mean_counts_cache_prefill_tokens,mean_counts_controller_calls,mean_counts_controller_prefill_tokens,mean_counts_final_prefill_tokens,mean_counts_host_output_tokens,mean_counts_internal_decoded_tokens,mean_counts_max_model_context_tokens,mean_counts_primary_model_prefill_tokens,mean_counts_reranker_input_tokens,mean_counts_reranker_scored_documents,mean_counts_retrieval_calls,mean_counts_retrieved_documents,mean_counts_retrieved_evidence_tokens,mean_counts_total_prefill_tokens,mean_executed_rounds,fraction_invalid_action,fraction_final_token_cap,mean_support_annotation_coverage,stop_reasons
basic_rag,1,2hop,32,0.03125,"[0.005537860164003122, 0.15744263820012558]",0.05404361263736264,"[0.00390625, 0.1285628434065934]",462.1131250169128,1085.5149328446714,0.0,0.0,522.389805968487,0.1458410952182021,0.0,4.805675684110611,1.3138191588950576,932.40625,0,0,0,0,932.40625,4.3125,0,980.40625,932.40625,0,0,1,6,795.46875,932.40625,1,0,0.03125,0.546875,"{""single_retrieval_baseline"": 32}"
basic_rag,1,3hop,32,0.0,"[0.0, 0.1071791982550706]",0.014318885448916407,"[0.0, 0.03270123839009288]",390.0503119803034,1500.2338401129236,0.0,0.0,551.7215481559106,0.14790643763262779,0.0,5.517990974112763,1.3424137396214064,871.59375,0,0,0,0,871.59375,6.5,0,919.59375,871.59375,0,0,1,6,727.46875,871.59375,1,0,0.03125,0.5208333333333333,"{""single_retrieval_baseline"": 32}"
basic_rag,1,4hop,32,0.0,"[0.0, 0.1071791982550706]",0.002840909090909091,"[0.0, 0.008522727272727272]",388.8037505093962,1082.3313453263834,0.0,0.0,457.9157316857163,0.1497749035479501,0.0,6.7124465604138095,1.4959231957618613,909.84375,0,0,0,0,909.84375,3.28125,0,957.84375,909.84375,0,0,1,6,760.125,909.84375,1,0,0,0.3359375,"{""single_retrieval_baseline"": 32}"
basic_rag,1,all,96,0.010416666666666666,"[0.0018411702168162486, 0.056666176227157854]",0.023734469059062714,"[0.00542677298192004, 0.04936408244748025]",393.53410399053246,1355.3033744974528,0.0,0.0,510.675695270038,0.14784081213292666,0.0,5.678704406212394,1.3840520314261084,904.6145833333334,0,0,0,0,904.6145833333334,4.697916666666667,0,952.6145833333334,904.6145833333334,0,0,1,6,761.0208333333334,904.6145833333334,1,0,0.020833333333333332,0.4678819444444444,"{""single_retrieval_baseline"": 96}"
expanded_rag,1,2hop,32,0.03125,"[0.005537860164003122, 0.15744263820012558]",0.05404361263736264,"[0.00390625, 0.1285628434065934]",1150.9719169698656,1846.571753945318,0.0,726.3926770265243,502.6377345002402,0.26484386580705177,0.0,6.320109376247274,1.4884660085954238,1090.625,0,0,1,155.9375,934.6875,4.3125,18.71875,982.6875,1090.625,0,0,1.40625,6,797.75,1090.625,1,0,0.03125,0.53125,"{""single_retrieval_baseline"": 32}"
expanded_rag,1,3hop,32,0.0,"[0.0, 0.1071791982550706]",0.010642414860681114,"[0.0, 0.028637770897832815]",1420.2204169996548,2401.2909088691226,0.0,950.8620625347248,503.2616184435028,0.2502578172425274,0.0,7.5674831477954285,1.483580646890914,1039.40625,0,0,1,163.125,876.28125,5.25,25.53125,924.28125,1039.40625,0,0,1.5,6,732.15625,1039.40625,1,0,0.03125,0.5,"{""single_retrieval_baseline"": 32}"
expanded_rag,1,4hop,32,0.0,"[0.0, 0.1071791982550706]",0.013257575757575756,"[0.0, 0.03693181818181818]",1505.1787914999295,2194.3884230888216,0.0,1045.5418867186381,473.3273111814924,0.2587721246527508,0.0,9.739225217344938,1.6325404412782518,1083.625,0,0,1,168.71875,914.90625,3.84375,28.375,962.90625,1083.625,0,0,1.625,6,765.1875,1083.625,1,0,0,0.328125,"{""single_retrieval_baseline"": 32}"
expanded_rag,1,all,96,0.010416666666666666,"[0.0018411702168162486, 0.056666176227157854]",0.025981201085206504,"[0.006186329009773767, 0.0537049715192251]",1378.4762709983625,2258.6278130183928,0.0,907.5988754266291,493.0755547084118,0.25795793590077665,0.0,7.87560591379588,1.5348623655881966,1071.21875,0,0,1,162.59375,908.625,4.46875,24.208333333333332,956.625,1071.21875,0,0,1.5104166666666667,6,765.03125,1071.21875,1,0,0.020833333333333332,0.453125,"{""single_retrieval_baseline"": 96}"
incremental_kv_bf16,5,2hop,32,0.0625,"[0.017310567031640967, 0.2014712314415458]",0.10091861263736264,"[0.02279361263736264, 0.19587053571428573]",1919.5859580067918,2884.9188753054477,769.1887291530293,1053.2705247733247,230.7369075861061,0.4234866828483064,0.0,8.467204370390391,2.413090089248726,1486.875,0,1199.59375,1.90625,238.34375,48.9375,4.6875,25.75,1359.9375,1486.875,0,0,1.90625,8.71875,1111.59375,1486.875,1.90625,0.125,0.03125,0.671875,"{""repeated_query_fallback_to_final"": 26, ""invalid_action_fallback_to_final"": 4, ""controller_answer"": 2}"
incremental_kv_bf16,5,3hop,32,0.03125,"[0.005537860164003122, 0.15744263820012558]",0.04541401580875265,"[0.003289473684210526, 0.11745348949296314]",2202.2798334655818,4301.375802053371,740.132122340583,1368.6537981884612,370.739049561962,0.4311758420953993,0.0,9.422187398740789,2.577415234554792,1500.875,0,1177.0625,1.90625,267.6875,56.125,8.78125,35.0625,1355.09375,1500.875,0,0,1.90625,8.71875,1089.0625,1500.875,1.90625,0,0.0625,0.53125,"{""repeated_query_fallback_to_final"": 32}"
