job,job_status,dataset,experiment,arm,hops,control,bridge_ratio,precision,update_policy,variant,stratification,stratum,n_examples,n_runs,example_cohort_sha256,metric_role,exact_match,exact_match_ci95_low,exact_match_ci95_high,f1,warm_latency_p50_ms,warm_latency_p95_ms,cache_precompute_union_p50_ms,retrieval_mean_ms,schedule_selection_mean_ms,mean_executed_evidence_hops,fraction_document_truncation,fraction_any_candidate_truncation,fraction_output_cap_reached,mean_cache_bytes,mean_cache_bytes_per_token,mean_support_recall,mean_bridge_recomputed_tokens,mean_evidence_tokens,mean_host_output_tokens,mean_ingest_prefill_tokens,mean_internal_decoded_tokens,mean_max_prefix_tokens,mean_query_prefill_tokens
hotpot_ablations,complete,hotpotqa,E4,latent,3,correct,0.0,bf16,all,latent/bf16,all,,32,32,db23c84f1bedeee80ba696930a6f265ecb85f3a75e6eb1a099c5dcf672e9d406,QA exact match,0.1875,0.08889544689565954,0.3530915520137596,0.27514880952380955,113.4499374893494,569.9562454799886,494.6789579989854,,0.2687448723008856,3.0,0.09375,0.3125,0.0,126111744.0,147456.0,0.859375,0.0,780.25,3.9375,855.25,0.0,902.6875,47.4375
hotpot_ablations,complete,hotpotqa,E4,latent,3,correct,0.1,bf16,all,latent/bf16,all,,32,32,db23c84f1bedeee80ba696930a6f265ecb85f3a75e6eb1a099c5dcf672e9d406,QA exact match,0.28125,0.15564580497742764,0.45374509425916565,0.3324404761904762,441.15845853229985,577.9352892714087,494.6789579989854,,0.2733099663601024,3.0,0.09375,0.3125,0.0,126111744.0,147456.0,0.859375,85.9375,780.25,2.09375,855.25,0.0,902.6875,47.4375
hotpot_ablations,complete,hotpotqa,E4,latent,3,correct,0.2,bf16,all,latent/bf16,all,,32,32,db23c84f1bedeee80ba696930a6f265ecb85f3a75e6eb1a099c5dcf672e9d406,QA exact match,0.25,0.1325240091850904,0.4210655899424448,0.3011904761904762,502.9632084770128,614.0693542372901,494.6789579989854,,0.26792056087288074,3.0,0.09375,0.3125,0.0,126111744.0,147456.0,0.859375,171.46875,780.25,2.0,855.25,0.0,902.6875,47.4375
hotpot_ablations,complete,hotpotqa,E4,latent,3,correct,1.0,bf16,all,latent/bf16,all,,32,32,db23c84f1bedeee80ba696930a6f265ecb85f3a75e6eb1a099c5dcf672e9d406,QA exact match,0.4375,0.2816533111504036,0.6067440886314801,0.5394345238095238,480.0656040024478,612.5052476796554,494.6789579989854,,0.25338021259813104,3.0,0.09375,0.3125,0.0,126111744.0,147456.0,0.859375,855.25,780.25,2.875,855.25,0.0,902.6875,47.4375
hotpot_ablations,complete,hotpotqa,E5,latent,3,correct,0.2,bf16,all,latent/bf16,all,,32,32,db23c84f1bedeee80ba696930a6f265ecb85f3a75e6eb1a099c5dcf672e9d406,QA exact match,0.25,0.1325240091850904,0.4210655899424448,0.3011904761904762,508.66702100029215,618.2140376447933,494.6789579989854,,0.2659922502061818,3.0,0.09375,0.3125,0.0,126111744.0,147456.0,0.859375,171.46875,780.25,2.0,855.25,0.0,902.6875,47.4375
hotpot_ablations,complete,hotpotqa,E5,latent,3,correct,0.2,int4,all,latent/int4,all,,32,32,db23c84f1bedeee80ba696930a6f265ecb85f3a75e6eb1a099c5dcf672e9d406,QA exact match,0.25,0.1325240091850904,0.4210655899424448,0.2833333333333333,514.2846665112302,629.5921124925371,494.6789579989854,,0.26455334955244325,3.0,0.09375,0.3125,0.0,35468928.0,41472.0,0.859375,171.46875,780.25,1.9375,855.25,0.0,902.6875,47.4375
hotpot_ablations,complete,hotpotqa,E5,latent,3,correct,0.2,int8,all,latent/int8,all,,32,32,db23c84f1bedeee80ba696930a6f265ecb85f3a75e6eb1a099c5dcf672e9d406,QA exact match,0.25,0.1325240091850904,0.4210655899424448,0.3011904761904762,513.9618750254158,629.3321082979674,494.6789579989854,,0.27140103884448763,3.0,0.09375,0.3125,0.0,66996864.0,78336.0,0.859375,171.46875,780.25,2.0,855.25,0.0,902.6875,47.4375
multihop_docs10,complete,synthetic_multihop,E2,direct_text,1,correct,0.2,bf16,all,direct_text/bf16,all,,3,3,62a4f3d3a855edc1b61a710c62716d731c27e60db57696e2ef788696829bc063,QA exact match,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.3333333333333333,293.4804580290802,297.78560801642016,0.0,,0.07636096173276503,1.0,0.0,0.0,0.0,,,0.26666666666666666,0.0,80.0,6.0,0.0,0.0,213.0,213.0
multihop_docs10,complete,synthetic_multihop,E2,direct_text,1,correct,0.2,bf16,all,direct_text/bf16,chain_length,5,3,3,62a4f3d3a855edc1b61a710c62716d731c27e60db57696e2ef788696829bc063,QA exact match,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.3333333333333333,293.4804580290802,297.78560801642016,0.0,,0.07636096173276503,1.0,0.0,0.0,0.0,,,0.26666666666666666,0.0,80.0,6.0,0.0,0.0,213.0,213.0
multihop_docs10,complete,synthetic_multihop,E2,direct_text,3,correct,0.2,bf16,all,direct_text/bf16,all,,3,3,62a4f3d3a855edc1b61a710c62716d731c27e60db57696e2ef788696829bc063,QA exact match,1.0,0.4385029682449546,1,1.0,368.88237501261756,370.18118747510016,0.0,,0.07572265652318795,3.0,0.0,0.0,0.0,,,0.4,0.0,252.0,6.0,0.0,0.0,385.0,385.0
