job,job_status,dataset,experiment,hops,bridge_ratio,update_policy,baseline,comparator,contrast_type,stratification,stratum,n_paired_examples,exact_match_difference,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,interval_note,baseline_only_correct,comparator_only_correct,common_example_ids_sha256
hotpot_ablations,complete,hotpotqa,E4,3,,all,latent/bf16/correct/ratio=1,latent/bf16/correct/ratio=0,condition,all,,32,0.25,0.0625,0.4375,empirical example bootstrap,10,2,dac3249ca1078e729670cb5ed29e44e8e9b6d494f5972818c40d6e74cbd22eb9
hotpot_ablations,complete,hotpotqa,E4,3,,all,latent/bf16/correct/ratio=1,latent/bf16/correct/ratio=0.1,condition,all,,32,0.15625,-0.03125,0.3125,empirical example bootstrap,7,2,dac3249ca1078e729670cb5ed29e44e8e9b6d494f5972818c40d6e74cbd22eb9
hotpot_ablations,complete,hotpotqa,E4,3,,all,latent/bf16/correct/ratio=1,latent/bf16/correct/ratio=0.2,condition,all,,32,0.1875,0.03125,0.34375,empirical example bootstrap,7,1,dac3249ca1078e729670cb5ed29e44e8e9b6d494f5972818c40d6e74cbd22eb9
hotpot_ablations,complete,hotpotqa,E5,3,0.2,all,latent/bf16/correct,latent/int4/correct,condition,all,,32,0.0,,,not estimated: constant differences or fewer than two examples,0,0,dac3249ca1078e729670cb5ed29e44e8e9b6d494f5972818c40d6e74cbd22eb9
hotpot_ablations,complete,hotpotqa,E5,3,0.2,all,latent/bf16/correct,latent/int8/correct,condition,all,,32,0.0,,,not estimated: constant differences or fewer than two examples,0,0,dac3249ca1078e729670cb5ed29e44e8e9b6d494f5972818c40d6e74cbd22eb9
multihop_docs10,complete,synthetic_multihop,E2,1,0.2,all,latent/int8/correct,direct_text/bf16/correct,condition,all,,3,0.0,,,not estimated: constant differences or fewer than two examples,0,0,b0421ec2b77e3a5a77aca77c3356034e42db4e12a0b84c5dc0bdd401017e6b7d
multihop_docs10,complete,synthetic_multihop,E2,1,0.2,all,latent/int8/correct,latent/bf16/correct,condition,all,,3,0.0,,,not estimated: constant differences or fewer than two examples,0,0,b0421ec2b77e3a5a77aca77c3356034e42db4e12a0b84c5dc0bdd401017e6b7d
multihop_docs10,complete,synthetic_multihop,E2,1,0.2,all,latent/int8/correct,text/bf16/correct,condition,all,,3,0.0,,,not estimated: constant differences or fewer than two examples,0,0,b0421ec2b77e3a5a77aca77c3356034e42db4e12a0b84c5dc0bdd401017e6b7d
multihop_docs10,complete,synthetic_multihop,E2,1,0.2,all,latent/bf16/correct,direct_text/bf16/correct,condition,all,,3,0.0,,,not estimated: constant differences or fewer than two examples,0,0,b0421ec2b77e3a5a77aca77c3356034e42db4e12a0b84c5dc0bdd401017e6b7d
multihop_docs10,complete,synthetic_multihop,E2,1,0.2,all,latent/bf16/correct,latent/int8/correct,condition,all,,3,0.0,,,not estimated: constant differences or fewer than two examples,0,0,b0421ec2b77e3a5a77aca77c3356034e42db4e12a0b84c5dc0bdd401017e6b7d
